IMG,QSN,TXT,OBJ,COL,CNT,OTH
COCO_train2014_000000100063.jpg,Are these trains moving?,0,5,2,0,2
COCO_train2014_000000100140.jpg,Are the clouds visible?,2,5,1,0,0
COCO_train2014_000000100142.jpg,What number is on the shorts?,0,3,2,4,1
COCO_train2014_000000010037.jpg,Which food has the most calories in the picture?,0,5,1,0,1
COCO_train2014_000000100439.jpg,Are the man and woman on the couch dating?,0,5,1,0,1
COCO_train2014_000000100506.jpg,Is this a highway?,1,5,1,0,0
COCO_train2014_000000010058.jpg,A person with what kind of job would ride in this vehicle?,2,5,0,0,0
COCO_train2014_000000010073.jpg,How many food is on the bottom plate?,1,5,0,4,0
COCO_train2014_000000100918.jpg,Is the third rail car empty?,0,4,1,2,0
COCO_train2014_000000101090.jpg,Is there a window?,0,5,1,0,0
COCO_train2014_000000010125.jpg,Was this picture taken in Texas?,4,4,0,0,0
COCO_train2014_000000101362.jpg,Has the bun been toasted?,0,4,2,0,0
COCO_train2014_000000101390.jpg,Where are the fruits on sale placed?,0,5,2,1,1
COCO_train2014_000000101503.jpg,How many minutes left to play?,2,3,1,1,0
COCO_train2014_000000101522.jpg,Is there celery?,0,5,1,0,0
COCO_train2014_000000101573.jpg,Do both girls have parts in their hair?,1,4,1,0,0
COCO_train2014_000000010161.jpg,What is the small green items?,0,5,3,0,0
COCO_train2014_000000101652.jpg,How many shoes are in the picture?,0,4,0,5,0
COCO_train2014_000000101684.jpg,Is this a baby?,0,5,1,0,0
COCO_train2014_000000101713.jpg,How many benches are pictured?,0,5,0,5,0
COCO_train2014_000000101837.jpg,Do you see a hose?,0,5,0,0,0
COCO_train2014_000000101906.jpg,What is the person doing in the water?,0,4,2,1,0
COCO_train2014_000000102163.jpg,What is behind the frosted glass?,0,5,2,0,0
COCO_train2014_000000102166.jpg,What is on top of the steeple?,0,5,1,0,0
COCO_train2014_000000102166.jpg,Is this near a religious place?,0,5,0,0,0
COCO_train2014_000000010243.jpg,How many doughnuts are there?,0,5,1,4,1
COCO_train2014_000000010243.jpg,What brand doughnuts are these?,2,5,1,0,0
COCO_train2014_000000102432.jpg,Is he throwing or catching the Frisbee?,1,5,2,0,0
COCO_train2014_000000102662.jpg,Has the water in the vase been mixed with food coloring?,0,5,2,0,0
COCO_train2014_000000102739.jpg,Are there any windows open?,1,5,1,0,0
COCO_train2014_000000102766.jpg,How many people are in the image?,0,4,2,3,0
COCO_train2014_000000102822.jpg,What game are these people playing?,0,5,1,0,0
COCO_train2014_000000103059.jpg,How many lights on the track light?,0,5,1,3,1
COCO_train2014_000000103335.jpg,What number is on the shed?,2,5,0,2,0
COCO_train2014_000000103356.jpg,Where is the bus going?,4,4,1,0,0
COCO_train2014_000000010343.jpg,Is this farmland?,1,5,1,0,0
COCO_train2014_000000103437.jpg,What color is the bowl?,0,3,5,0,0
COCO_train2014_000000103447.jpg,Is the cat calm?,1,4,2,0,0
COCO_train2014_000000103498.jpg,What kind of tree is on the left?,0,5,3,0,0
COCO_train2014_000000103520.jpg,What is covering the elephant?,0,5,3,0,0
COCO_train2014_000000103746.jpg,How many purple flowers are there?,0,3,2,5,0
COCO_train2014_000000103843.jpg,When would you eat this?,0,5,1,0,0
COCO_train2014_000000103843.jpg,What is this type of food called?,1,5,2,0,0
COCO_train2014_000000103843.jpg,What category of food is this?,0,5,3,0,1
COCO_train2014_000000104081.jpg,Are all of the cows the same color?,0,5,3,1,0
COCO_train2014_000000104146.jpg,What is on the man's head?,0,5,0,0,0
COCO_train2014_000000104510.jpg,What kind of animal is the blue stuffed animal?,0,5,3,0,0
COCO_train2014_000000104661.jpg,How many people in the photo?,1,5,0,4,0
COCO_train2014_000000104825.jpg,Is this a desert?,0,5,1,0,0
COCO_train2014_000000010489.jpg,Where is the plant?,0,5,1,0,0
COCO_train2014_000000105055.jpg,Who took the picture?,0,5,1,0,0
COCO_train2014_000000105172.jpg,What is the elephant carrying?,0,5,2,0,0
COCO_train2014_000000105246.jpg,Is the scenic route to the right?,2,5,1,0,0
COCO_train2014_000000105532.jpg,How many men are in the line?,0,4,1,4,0
COCO_train2014_000000105594.jpg,Why are there dark lines on the bread?,0,5,3,0,0
COCO_train2014_000000105640.jpg,Is the snow melting?,0,5,1,0,0
COCO_train2014_000000010566.jpg,What color is the light?,1,5,5,0,0
COCO_train2014_000000105865.jpg,What is the color of the fridge?,0,5,5,0,0
COCO_train2014_000000106151.jpg,Did these sheep climb to the top of this mountain?,1,4,2,0,0
COCO_train2014_000000106241.jpg,Is the sky cloudy?,0,5,2,0,2
COCO_train2014_000000106387.jpg,Is this a man?,0,4,2,0,0
COCO_train2014_000000106521.jpg,Are they about to go skiing?,1,4,1,1,0
COCO_train2014_000000106704.jpg,Is that bike seat soft?,0,5,0,0,1
COCO_train2014_000000010702.jpg,What are the zebras standing on?,0,5,1,0,0
COCO_train2014_000000107109.jpg,What is on?,0,4,1,0,0
COCO_train2014_000000107119.jpg,Which side is player 14 on?,2,3,3,0,0
COCO_train2014_000000107424.jpg,How many plants are there?,1,5,1,3,0
COCO_train2014_000000107745.jpg,Has it recently rained?,1,5,1,0,1
COCO_train2014_000000107747.jpg,What type of building is in the background?,0,5,2,0,0
COCO_train2014_000000107747.jpg,How many stories is the clock tower?,0,4,0,5,0
COCO_train2014_000000010784.jpg,Is this a supermarket chain?,2,4,0,0,0
COCO_train2014_000000107868.jpg,What is sitting behind the fruit?,1,5,1,0,0
COCO_train2014_000000107884.jpg,How many vehicles are in this picture?,0,5,0,5,0
COCO_train2014_000000107886.jpg,What kind of dessert is on this plate?,0,5,1,0,0
COCO_train2014_000000107941.jpg,What number is on the sign?,3,4,1,3,0
COCO_train2014_000000107982.jpg,Why does the cat sleep on top of the microwave?,0,5,3,0,0
COCO_train2014_000000108020.jpg,How many giraffes are in the picture?,0,5,2,4,0
COCO_train2014_000000108034.jpg,Are the people conversing?,0,5,0,0,0
COCO_train2014_000000108075.jpg,What is the person holding?,0,5,1,0,0
COCO_train2014_000000108093.jpg,What numbers are on the train?,1,4,1,4,1
COCO_train2014_000000108156.jpg,What type of truck is in the mirror?,0,5,1,0,0
COCO_train2014_000000108200.jpg,Does this mountain look very steep?,0,5,2,0,1
COCO_train2014_000000108254.jpg,How many squares are lit up?,0,5,3,4,0
COCO_train2014_000000108360.jpg,What is the little boy doing?,1,5,2,0,1
COCO_train2014_000000108430.jpg,What color is the grass?,0,4,4,0,0
COCO_train2014_000000108500.jpg,Is this picture likely taken in an English- or non-English-speaking country?,2,5,2,0,0
COCO_train2014_000000108500.jpg,What is the company being advertise on the truck?,3,5,1,0,0
COCO_train2014_000000108598.jpg,Is there anyone in the bathroom?,0,5,3,0,0
COCO_train2014_000000108642.jpg,What is the woman holding?,0,5,0,0,0
COCO_train2014_000000108751.jpg,Is someone traveling?,0,5,1,0,0
COCO_train2014_000000010877.jpg,What room is this?,0,5,1,0,0
COCO_train2014_000000109145.jpg,Is there a lot of counter room?,0,5,0,2,0
COCO_train2014_000000010948.jpg,What is the woman holding by her ear?,0,5,1,0,0
COCO_train2014_000000109506.jpg,Does this street look safe?,2,5,2,0,0
COCO_train2014_000000109542.jpg,What type of bears are in the photo?,0,4,1,0,0
COCO_train2014_000000109572.jpg,What breed of dog is this?,0,5,2,0,1
COCO_train2014_000000109608.jpg,Do you think she is dodging a tennis ball or jumping for joy?,0,5,1,0,0
COCO_train2014_000000109708.jpg,How many compact disks are stacked up against the wall?,1,4,1,3,1
COCO_train2014_000000109783.jpg,What time is it?,3,4,0,2,0
COCO_train2014_000000110060.jpg,Is this an adult?,0,5,1,0,0
COCO_train2014_000000110142.jpg,Does the boy need balance?,0,5,2,0,1
COCO_train2014_000000011029.jpg,Is the bear sleeping?,0,5,0,0,0
COCO_train2014_000000110298.jpg,Does this take place within an urban area?,0,4,1,0,1
COCO_train2014_000000110308.jpg,What color is the clock?,1,5,5,0,0
COCO_train2014_000000110493.jpg,Where is the desert located?,0,4,2,1,0
COCO_train2014_000000110790.jpg,Are the fingers normal?,0,4,1,1,0
COCO_train2014_000000110962.jpg,What is on the man's pizza?,2,5,1,0,1
COCO_train2014_000000111318.jpg,What time is on the clock?,3,5,0,2,1
COCO_train2014_000000111348.jpg,What time is it?,4,5,0,3,0
COCO_train2014_000000011146.jpg,Are the lights on?,1,4,2,0,0
COCO_train2014_000000111536.jpg,What is sticking in the snow?,0,5,1,0,0
COCO_train2014_000000111591.jpg,How many birds are pictured?,1,5,0,4,0
COCO_train2014_000000111606.jpg,Can you have this with rice?,1,5,1,0,0
COCO_train2014_000000111612.jpg,Is the man on the yellow board surfing?,0,5,4,0,0
COCO_train2014_000000111705.jpg,How many plates are over the table?,0,4,0,5,0
COCO_train2014_000000111716.jpg,Is the skateboarder trying to impress someone?,0,5,1,0,0
COCO_train2014_000000111716.jpg,What is the shadow of in this photo?,0,5,2,0,0
COCO_train2014_000000111853.jpg,Are there any passengers in the train?,0,5,0,1,0
COCO_train2014_000000111940.jpg,Is this a used motorcycle lot?,1,4,1,0,0
COCO_train2014_000000112031.jpg,What is the person doing?,0,4,1,0,0
COCO_train2014_000000112106.jpg,What does the graffiti say?,3,5,0,0,0
COCO_train2014_000000112410.jpg,Does the plane have a baby?,0,5,1,0,0
COCO_train2014_000000112801.jpg,At what time of day would this meal be served?,0,4,2,0,2
COCO_train2014_000000112849.jpg,What brand is this truck?,3,5,0,0,0
COCO_train2014_000000113127.jpg,Does the dog look happy?,1,4,1,0,0
COCO_train2014_000000113326.jpg,What word is shown at the bottom of the cake?,5,5,0,0,0
COCO_train2014_000000113338.jpg,What time is it?,3,3,1,1,0
COCO_train2014_000000113391.jpg,How many bookshelves are there?,0,3,0,4,0
COCO_train2014_000000113501.jpg,Is he practicing a dangerous sport?,0,5,0,0,1
COCO_train2014_000000113762.jpg,How many cats are here?,0,5,1,3,1
COCO_train2014_000000113857.jpg,What are they doing with their hands?,1,5,0,0,0
COCO_train2014_000000001139.jpg,Is this cat watching TV?,1,5,0,0,1
COCO_train2014_000000113962.jpg,What are green on the pizza?,0,5,4,1,0
COCO_train2014_000000114045.jpg,What is blooming in the picture?,0,5,2,0,0
COCO_train2014_000000114101.jpg,What kind of truck is this?,2,5,1,0,0
COCO_train2014_000000114288.jpg,How many people are standing on the side of the street?,1,5,0,4,0
COCO_train2014_000000114310.jpg,Is it daytime or night in this photo?,0,5,3,0,0
COCO_train2014_000000114540.jpg,How many numbers are on the boat?,0,4,0,4,0
COCO_train2014_000000114561.jpg,What does the man have on his wrist?,0,5,1,0,0
COCO_train2014_000000114624.jpg,Is this a normal sight in your city?,2,5,1,0,0
COCO_train2014_000000114718.jpg,Is this a petting zoo?,0,5,3,0,0
COCO_train2014_000000114788.jpg,Does the man have good teeth?,0,5,1,0,0
COCO_train2014_000000114917.jpg,What are the white square things on the counter in the background?,0,5,3,1,1
COCO_train2014_000000114978.jpg,What color is his coat?,0,5,5,0,0
COCO_train2014_000000011508.jpg,What color are these shoes?,1,3,5,0,0
COCO_train2014_000000115270.jpg,What color is the monitor?,1,4,4,0,0
COCO_train2014_000000011528.jpg,Is the background clear?,2,5,1,1,0
COCO_train2014_000000115358.jpg,Is it high tide?,0,5,3,1,0
COCO_train2014_000000115392.jpg,How many people are in the drawing?,0,4,0,5,0
COCO_train2014_000000115421.jpg,What is on the garbage can?,0,4,1,0,0
COCO_train2014_000000115633.jpg,Could this train be powered electrically?,0,5,1,0,0
COCO_train2014_000000115851.jpg,What color is the bench?,0,5,5,0,0
COCO_train2014_000000115911.jpg,What time of day is it?,0,1,1,0,0
COCO_train2014_000000116088.jpg,What are the kids riding?,0,5,2,0,0
COCO_train2014_000000116123.jpg,What is in the water?,0,5,1,0,0
COCO_train2014_000000116210.jpg,What sport is the man playing?,0,5,1,0,0
COCO_train2014_000000011658.jpg,How many boats are there?,0,3,3,2,0
COCO_train2014_000000116783.jpg,What does the truck say?,2,5,3,0,0
COCO_train2014_000000011697.jpg,What girl's name is on the purple sign at the top right?,2,5,0,0,0
COCO_train2014_000000117116.jpg,Why are all the umbrellas closed?,0,5,2,0,0
COCO_train2014_000000117262.jpg,What is in the sky?,0,5,0,0,0
COCO_train2014_000000117307.jpg,Where is the black cord?,0,5,3,0,0
COCO_train2014_000000117677.jpg,What color is her hat?,0,4,4,0,0
COCO_train2014_000000117784.jpg,What time of day is it?,0,4,1,1,1
COCO_train2014_000000118104.jpg,Is this photo straight?,0,5,2,0,0
COCO_train2014_000000118150.jpg,What are they cooking?,1,5,1,0,0
COCO_train2014_000000118162.jpg,Is he wearing a shirt?,0,4,1,0,0
COCO_train2014_000000118171.jpg,What are these men wearing on their feet?,0,5,2,0,0
COCO_train2014_000000118242.jpg,Is that a large elephant?,0,5,0,0,0
COCO_train2014_000000118356.jpg,How tall is the little girl?,0,4,1,4,0
COCO_train2014_000000118404.jpg,What is the name of the town on the bus marquee?,3,5,1,0,0
COCO_train2014_000000118680.jpg,What color are the cat's eyes?,0,3,5,0,1
COCO_train2014_000000118703.jpg,How many stories of the building are showing?,0,4,1,3,0
COCO_train2014_000000118703.jpg,Can you tell me what the truck sign says?,3,5,0,0,0
COCO_train2014_000000118777.jpg,How many lights are on top of each pole?,0,4,1,4,0
COCO_train2014_000000118918.jpg,Why is there a vertical line near the right end of the wall mirror?,0,5,2,0,0
COCO_train2014_000000118934.jpg,Is the sky cloudy?,0,3,3,0,0
COCO_train2014_000000118989.jpg,What color are the buses?,0,4,5,0,0
COCO_train2014_000000119115.jpg,Which pterodactyl is female?,0,5,2,0,0
COCO_train2014_000000119118.jpg,Is there a receptacle to dispose trash?,1,5,0,0,0
COCO_train2014_000000119141.jpg,How many windows are on the bus?,1,4,0,5,1
COCO_train2014_000000119297.jpg,Is the sport fast?,0,4,2,1,0
COCO_train2014_000000119358.jpg,What brand of sink is this?,0,5,1,0,1
COCO_train2014_000000119458.jpg,What is the man looking at?,0,5,0,0,1
COCO_train2014_000000119488.jpg,Does the cat's tail touch the pillow?,0,5,3,0,0
COCO_train2014_000000119614.jpg,Does the cat want to travel?,0,5,2,0,1
